page,code,time_hr,type,composition,,,,,,,
97,02-04-010-310-5,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
97,02-04-010-310-5,200,Spinel,8.10,,,,,,,
97,02-04-010-310-5,200,Spinel,8.25,,,,,,,
97,02-04-010-310-5,200,Rutile,3.30,,,,,,,
97,02-04-010-310-5,200,Oxide,HfO2,,,,,,,
98,02-04-011-321-4,100,Spinel,8.10,,,,,,,
98,02-04-011-321-4,100,Rutile,3.30,,,,,,,
98,02-04-011-321-4,100,Oxide,Al2O3,,,,,,,
99,02-04-011-324-4,115,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
99,02-04-011-324-4,115,Spinel,8.05,,,,,,,
99,02-04-011-324-4,115,Spinel,8.25,,,,,,,
99,02-04-011-324-4,115,Rutile,3.30,,,,,,,
99,02-04-011-324-4,115,Oxide,NiO,,,,,,,
100,02-04-012-323-3,100,Oxide,NiO,,,,,,,
100,02-04-012-323-3,100,Spinel,8.25,,,,,,,
100,02-04-012-323-3,100,Rutile,3.30,,,,,,,
100,02-04-012-323-3,100,Spinel,8.10,,,,,,,
100,02-04-012-323-3,100,Oxide,Al2O3,,,,,,,
100,02-04-012-323-3,100,Oxide,Cr2O3,,,,,,,
101,02-04-012-325-3,200,Spinel,8.10,,,,,,,
101,02-04-012-325-3,200,Oxide,NiO,,,,,,,
101,02-04-012-325-3,200,Spinel,8.25,,,,,,,
101,02-04-012-325-3,200,Rutile,3.30,,,,,,,
101,02-04-012-325-3,200,Oxide,Cr2O3,,,,,,,
102,02-04-013-322-1,100,Oxide,NiO,,,,,,,
102,02-04-013-322-1,100,Spinel,8.30,,,,,,,
102,02-04-013-322-1,100,Oxide,Cr2O3,,,,,,,
102,02-04-013-322-1,100,Rutile,3.30,,,,,,,
103,02-04-013-325-1,200,Oxide,NiO,,,,,,,
103,02-04-013-325-1,200,Spinel,8.30,,,,,,,
103,02-04-013-325-1,200,Oxide,Cr2O3,,,,,,,
103,02-04-013-325-1,200,Rutile,3.30,,,,,,,
103,02-04-013-325-1,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
104,02-04-021-041-3,100,Rutile,3.30,,,,,,,
104,02-04-021-041-3,100,Spinel,8.15,,,,,,,
104,02-04-021-041-3,100,Oxide,Al2O3,,,,,,,
105,02-04-021-078-3,100,Rutile,3.30,,,,,,,
105,02-04-021-078-3,100,Oxide,NiO,,,,,,,
105,02-04-021-078-3,100,Spinel,8.10,,,,,,,
105,02-04-021-078-3,100,Oxide,ZrO2,,,,,,,
106,02-04-021-078-6,100,Rutile,3.30,,,,,,,
106,02-04-021-078-6,100,Spinel,8.10,,,,,,,
106,02-04-021-078-6,100,Oxide,Al2O3,,,,,,,
106,02-04-021-078-6,100,Oxide,ZrO2,,,,,,,
106,02-04-021-078-6,100,Oxide,NiO,,,,,,,
107,02-04-021-101-4,100,Oxide,Al2O3,,,,,,,
107,02-04-021-101-4,100,Rutile,3.30,,,,,,,
107,02-04-021-101-4,100,Spinel,8.15,,,,,,,
112,02-04-021-129-5,100,Spinel,8.10,,,,,,,
112,02-04-021-129-5,100,Rutile,3.30,,,,,,,
112,02-04-021-129-5,100,Oxide,Al2O3,,,,,,,
112,02-04-021-129-5,100,Oxide,ZrO2,,,,,,,
113,02-04-021-129-6,100,Spinel,8.10,,,,,,,
113,02-04-021-129-6,100,Rutile,3.30,,,,,,,
113,02-04-021-129-6,100,Oxide,Al2O3,,,,,,,
113,02-04-021-129-6,100,Oxide,ZrO2,,,,,,,
114,02-04-021-204-5,100,Oxide,Cr2O3,,,,,,,
114,02-04-021-204-5,100,Oxide,Al2O3,,,,,,,
115,02-04-021-001-1,8,Rutile,3.30,,,,,,,
115,02-04-021-001-1,8,Oxide,Al2O3,,,,,,,
115,02-04-021-001-1,8,Spinel,8.10,,,,,,,
115,02-04-021-001-1,8,Spinel,8.30,,,,,,,
115,02-04-021-001-5,100,Rutile,3.30,,,,,,,
115,02-04-021-001-5,100,Spinel,8.10,,,,,,,
115,02-04-021-001-5,100,Oxide,Al2O3,,,,,,,
119,02-04-021-190-6,200,Spinel,8.10,,,,,,,
119,02-04-021-190-6,200,Oxide,Al2O3,,,,,,,
119,02-04-021-190-6,200,Rutile,3.30,,,,,,,
120,02-04-021-005-1,8,Rutile,3.30,,,,,,,
120,02-04-021-005-1,8,Oxide,Al2O3,,,,,,,
120,02-04-021-005-1,8,Spinel,8.10,,,,,,,
120,02-04-021-005-5,100,Rutile,3.30,,,,,,,
120,02-04-021-005-5,100,Oxide,Al2O3,,,,,,,
120,02-04-021-005-5,100,Spinel,8.10,,,,,,,
121,02-04-027-102-3,100,Oxide,NiO,,,,,,,
121,02-04-027-102-3,100,Spinel,8.10,,,,,,,
123,02-04-027-139-4,100,Oxide,NiO,,,,,,,
123,02-04-027-139-4,100,Oxide,Al2O3,,,,,,,
123,02-04-027-139-4,100,Spinel,8.05,,,,,,,
125,02-04-025-108-3,100,Oxide,Cr2O3,,,,,,,
125,02-04-025-108-3,100,Oxide,NiO,,,,,,,
126,02-04-025-232-3,200,Oxide,Cr2O3,,,,,,,
126,02-04-025-232-3,200,Spinel,8.30,,,,,,,
126,02-04-025-232-3,200,Oxide,NiO,,,,,,,
127,02-04-016-108-4,100,Rutile,3.30,,,,,,,
129,02-04-016-232-6,200,Spinel,8.15,,,,,,,
129,02-04-016-232-6,200,Rutile,3.30,,,,,,,
129,02-04-016-232-6,200,Oxide,Cr2O3,,,,,,,
130,02-04-017-322-4,100,Spinel,8.10,,,,,,,
130,02-04-017-322-4,100,Rutile,3.30,,,,,,,
130,02-04-017-322-4,100,Spinel,8.25,,,,,,,
130,02-04-017-322-4,100,Oxide,Al2O3,,,,,,,
130,02-04-017-322-4,100,Oxide,HfO2,,,,,,,
131,02-04-017-325-4,200,Spinel,8.25,,,,,,,
131,02-04-017-325-4,200,Spinel,8.10,,,,,,,
131,02-04-017-325-4,200,Rutile,3.30,,,,,,,
131,02-04-017-325-4,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
131,02-04-017-325-4,200,Oxide,Cr2O3,,,,,,,
131,02-04-017-325-4,200,Oxide,HfO2,,,,,,,
133,02-04-019-101-2,100,Rutile,3.30,,,,,,,
133,02-04-019-101-2,100,Oxide,Al2O3,,,,,,,
133,02-04-019-101-2,100,Spinel,8.10,,,,,,,
135,02-04-019-107-6,100,Oxide,NiO,,,,,,,
135,02-04-019-107-6,100,Rutile,3.30,,,,,,,
135,02-04-019-107-6,100,Spinel,8.25,,,,,,,
136,02-04-019-204-6,100,Rutile,3.30,,,,,,,
136,02-04-019-204-6,100,Oxide,NiO,,,,,,,
136,02-04-019-204-6,100,Spinel,8.25,,,,,,,
137,02-04-019-321-3,100,Spinel,8.10,,,,,,,
137,02-04-019-321-3,100,Rutile,3.30,,,,,,,
137,02-04-019-321-3,100,Oxide,NiO,,,,,,,
137,02-04-019-321-3,100,Oxide,Al2O3,,,,,,,
137,02-04-019-321-3,100,Oxide,ZrO2,,,,,,,
138,02-04-019-115-1,100,Spinel,8.10,,,,,,,
138,02-04-019-115-1,100,Rutile,3.30,,,,,,,
