page,code,time_hr,type,composition
135,02-04-019-107-6,100,Rutile,3.3
135,02-04-019-107-6,100,Rutile,3.3
135,02-04-019-107-6,100,Unknown,2.88
136,02-04-019-204-6,100,Oxide,NiO
136,02-04-019-204-6,100,Oxide,NiO
136,02-04-019-204-6,100,Rutile,3.3
136,02-04-019-204-6,100,Rutile,3.3
136,02-04-019-204-6,100,Oxide,Al2O3
136,02-04-019-204-6,100,Unknown,4.63
136,02-04-019-204-6,100,Unknown,1.17
136,02-04-019-204-6,100,Unknown,1.12
136,02-04-019-204-6,100,Unknown,1.06
137,02-04-019-321-3,100,Oxide,NiO
137,02-04-019-321-3,100,Rutile,3.3
137,02-04-019-321-3,100,Spinel,8.1
137,02-04-019-321-3,100,Spinel,8.25
137,02-04-019-321-3,100,Oxide,"Ni(W,Mo)O4 Type 1"
137,02-04-019-321-3,100,Unknown,2.96
138,02-04-019-115-1,100,Oxide,NiO
138,02-04-019-115-1,100,Rutile,3.3
138,02-04-019-115-1,100,Spinel,8.1
138,02-04-019-115-1,100,Oxide,Al2O3
138,02-04-019-115-1,100,Spinel,8.25
140,02-04-019-190-1,200,Oxide,Fe2O3
141,02-04-019-324-3,200,Oxide,NiO
141,02-04-019-324-3,200,Oxide,"Ni(W,Mo)O4 Type 1"
141,02-04-019-324-3,200,Spinel,8.25
141,02-04-019-324-3,200,Spinel,8.05
141,02-04-019-324-3,200,Rutile,3.3
141,02-04-019-324-3,200,Oxide,Al2O3
141,02-04-019-324-3,200,Oxide,"Ni(W,Mo)O4 Type 2"
141,02-04-019-324-3,200,Unknown,3.57
142,02-04-032-322-2,100,Oxide,NiO
142,02-04-032-322-2,100,Spinel,8.3
142,02-04-032-322-2,100,Rutile,3.3
142,02-04-032-322-2,100,Spinel,8.1
143,02-04-032-325-2,200,Oxide,NiO
143,02-04-032-325-2,200,Spinel,8.3
143,02-04-032-325-2,200,Rutile,3.3
143,02-04-032-325-2,200,Spinel,8.05
143,02-04-032-325-2,200,Oxide,Cr2O3
143,02-04-032-325-2,200,Oxide,Al2O3
143,02-04-032-325-2,200,Unknown,2.7
144,02-04-022-321-6,100,Oxide,NiO
144,02-04-022-321-6,100,Spinel,8.25
144,02-04-022-321-6,100,Oxide,"Ni(W,Mo)O4 Type 2"
144,02-04-022-321-6,100,Oxide,Cr2O3
145,02-13-016-323-6,100,Oxide,NiO
145,02-13-016-323-6,100,Spinel,8.3
146,02-04-022-251-1,200,Oxide,NiO
146,02-04-022-251-1,200,Spinel,8.25
146,02-04-022-251-1,200,Oxide,Cr2O3
146,02-04-022-251-1,200,Rutile,3.3
146,02-04-022-251-1,200,Oxide,"Ni(W,Mo)O4 Type 1"
147,02-04-022-251-2,200,Oxide,NiO
147,02-04-022-251-2,200,Spinel,8.25
147,02-04-022-251-2,200,Rutile,3.3
147,02-04-022-251-2,200,Oxide,Cr2O3
147,02-04-022-251-2,200,Oxide,"Ni(W,Mo)O4 Type 1"
150,02-13-016-310-6,200,Oxide,NiO
150,02-13-016-310-6,200,Spinel,8.25
150,02-13-016-310-6,200,Unknown,3.09
150,02-13-016-310-6,200,Unknown,2.44
151,02-04-022-324-6,200,Oxide,NiO
151,02-04-022-324-6,200,Spinel,8.3
151,02-04-022-324-6,200,Oxide,Cr2O3
151,02-04-022-324-6,200,Oxide,"(Ni,Co,Fe)TiO3"
151,02-04-022-324-6,200,Oxide,Al2O3
151,02-04-022-324-6,200,Unknown,3.1
152,02-13-016-326-6,200,Spinel,8.3
152,02-13-016-326-6,200,Oxide,NiO
152,02-13-016-326-6,200,Oxide,"Ni(W,Mo)O4 Type 1"
152,02-13-016-326-6,200,Rutile,3.3
152,02-13-016-326-6,200,Oxide,"(Ni,Co,Fe)TiO3"
152,02-13-016-326-6,200,Oxide,Cr2O3
153,02-04-023-321-5,100,Oxide,NiO
153,02-04-023-321-5,100,Spinel,8.25
153,02-04-023-321-5,100,Oxide,"Ni(W,Mo)O4 Type 2"
153,02-04-023-321-5,100,Oxide,Cr2O3
154,02-04-023-324-5,200,Oxide,NiO
154,02-04-023-324-5,200,Spinel,8.3
154,02-04-023-324-5,200,Oxide,Cr2O3
154,02-04-023-324-5,200,Oxide,"(Ni,Co,Fe)TiO3"
156,02-04-024-102-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
156,02-04-024-102-5,100,Oxide,Cr2O3
156,02-04-024-102-5,100,Unknown,3.8
156,02-04-024-102-5,100,Unknown,1.54
156,02-04-024-102-5,100,Unknown,1
156,02-04-024-102-5,100,Unknown,1.36
